"Step","libero_10_grpo_openvlaoft_sft100_base - env/success_once","libero_10_grpo_openvlaoft_sft100_base - env/success_once__MIN","libero_10_grpo_openvlaoft_sft100_base - env/success_once__MAX"
"0","0.783203125","0.783203125","0.783203125"
"1","0.748046875","0.748046875","0.748046875"
"2","0.810546875","0.810546875","0.810546875"
"3","0.765625","0.765625","0.765625"
"4","0.818359375","0.818359375","0.818359375"
"5","0.7734375","0.7734375","0.7734375"
"6","0.77734375","0.77734375","0.77734375"
"7","0.79296875","0.79296875","0.79296875"
"8","0.734375","0.734375","0.734375"
"9","0.783203125","0.783203125","0.783203125"
"10","0.796875","0.796875","0.796875"
"11","0.8515625","0.8515625","0.8515625"
"12","0.8125","0.8125","0.8125"
"13","0.8203125","0.8203125","0.8203125"
"14","0.8515625","0.8515625","0.8515625"
"15","0.880859375","0.880859375","0.880859375"
"16","0.84765625","0.84765625","0.84765625"
"17","0.810546875","0.810546875","0.810546875"
"18","0.837890625","0.837890625","0.837890625"
"19","0.78125","0.78125","0.78125"
"20","0.865234375","0.865234375","0.865234375"
"21","0.892578125","0.892578125","0.892578125"
"22","0.861328125","0.861328125","0.861328125"
"23","0.865234375","0.865234375","0.865234375"
"24","0.912109375","0.912109375","0.912109375"
"25","0.822265625","0.822265625","0.822265625"
"26","0.8984375","0.8984375","0.8984375"
"27","0.830078125","0.830078125","0.830078125"
"28","0.88671875","0.88671875","0.88671875"
"29","0.88671875","0.88671875","0.88671875"
"30","0.845703125","0.845703125","0.845703125"
"31","0.8828125","0.8828125","0.8828125"
"32","0.8828125","0.8828125","0.8828125"
"33","0.875","0.875","0.875"
"34","0.896484375","0.896484375","0.896484375"
"35","0.88671875","0.88671875","0.88671875"
"36","0.931640625","0.931640625","0.931640625"
"37","0.9140625","0.9140625","0.9140625"
"38","0.876953125","0.876953125","0.876953125"
"39","0.923828125","0.923828125","0.923828125"
"40","0.869140625","0.869140625","0.869140625"
"41","0.93359375","0.93359375","0.93359375"
"42","0.896484375","0.896484375","0.896484375"
"43","0.89453125","0.89453125","0.89453125"
"44","0.8671875","0.8671875","0.8671875"
"45","0.921875","0.921875","0.921875"
"46","0.900390625","0.900390625","0.900390625"
"47","0.919921875","0.919921875","0.919921875"
"48","0.9296875","0.9296875","0.9296875"
"49","0.94140625","0.94140625","0.94140625"
"50","0.92578125","0.92578125","0.92578125"
"51","0.939453125","0.939453125","0.939453125"
"52","0.90234375","0.90234375","0.90234375"
"53","0.91015625","0.91015625","0.91015625"
"54","0.91796875","0.91796875","0.91796875"
"55","0.939453125","0.939453125","0.939453125"
"56","0.921875","0.921875","0.921875"
"57","0.923828125","0.923828125","0.923828125"
"58","0.931640625","0.931640625","0.931640625"
"59","0.919921875","0.919921875","0.919921875"
"60","0.923828125","0.923828125","0.923828125"
"61","0.919921875","0.919921875","0.919921875"
"62","0.90234375","0.90234375","0.90234375"
"63","0.916015625","0.916015625","0.916015625"
"64","0.896484375","0.896484375","0.896484375"
"65","0.935546875","0.935546875","0.935546875"
"66","0.927734375","0.927734375","0.927734375"
"67","0.931640625","0.931640625","0.931640625"
"68","0.92578125","0.92578125","0.92578125"
"69","0.935546875","0.935546875","0.935546875"
"70","0.912109375","0.912109375","0.912109375"
"71","0.955078125","0.955078125","0.955078125"
"72","0.953125","0.953125","0.953125"
"73","0.93359375","0.93359375","0.93359375"
"74","0.96875","0.96875","0.96875"
"75","0.93359375","0.93359375","0.93359375"
"76","0.958984375","0.958984375","0.958984375"
"77","0.927734375","0.927734375","0.927734375"
"78","0.958984375","0.958984375","0.958984375"
"79","0.95703125","0.95703125","0.95703125"
"80","0.955078125","0.955078125","0.955078125"
"81","0.94140625","0.94140625","0.94140625"
"82","0.951171875","0.951171875","0.951171875"
"83","0.953125","0.953125","0.953125"
"84","0.943359375","0.943359375","0.943359375"
"85","0.95703125","0.95703125","0.95703125"
"86","0.9453125","0.9453125","0.9453125"
"87","0.958984375","0.958984375","0.958984375"
"88","0.953125","0.953125","0.953125"
"89","0.93359375","0.93359375","0.93359375"
"90","0.953125","0.953125","0.953125"
"91","0.951171875","0.951171875","0.951171875"
"92","0.95703125","0.95703125","0.95703125"
"93","0.974609375","0.974609375","0.974609375"
"94","0.966796875","0.966796875","0.966796875"
"95","0.958984375","0.958984375","0.958984375"
"96","0.97265625","0.97265625","0.97265625"
"97","0.953125","0.953125","0.953125"
"98","0.974609375","0.974609375","0.974609375"
"99","0.951171875","0.951171875","0.951171875"
"100","0.962890625","0.962890625","0.962890625"
"101","0.96875","0.96875","0.96875"
